"country","continent","term","estimate","std.error","statistic","p.value"
"Lesotho","Africa","(Intercept)",47.3790256410257,3.22225044398612,14.7037067616678,4.23452753088987e-08
"Lesotho","Africa","I(year - 1952)",0.0955657342657339,0.0992440896718812,0.962936277431648,0.358286370600178
"Liberia","Africa","(Intercept)",39.8364230769231,0.962684635965677,41.3805534945126,1.62759583479859e-12
"Liberia","Africa","I(year - 1952)",0.0959937062937062,0.0296503211027043,3.23752670202789,0.00890665088834011
"Libya","Africa","(Intercept)",42.1019358974359,0.836190277080637,50.3497075383667,2.30831182407479e-13
"Libya","Africa","I(year - 1952)",0.625535664335664,0.0257543428991466,24.2885507421116,3.18876589517954e-10
"Madagascar","Africa","(Intercept)",36.6680641025641,0.303904080890051,120.656701927705,3.75162353026288e-17
"Madagascar","Africa","I(year - 1952)",0.403727972027972,0.00936013025051904,43.1327301247313,1.07735839734068e-12
"Malawi","Africa","(Intercept)",36.9103717948718,1.04974404941257,35.161306049343,8.21134368081579e-12
"Malawi","Africa","I(year - 1952)",0.234225874125874,0.0323317179665111,7.24446113158859,2.77657538874104e-05
"Malaysia","Asia","(Intercept)",51.505217948718,1.13383655588432,45.4256106679743,6.43382858376272e-13
"Malaysia","Asia","I(year - 1952)",0.464522377622377,0.0349217352224919,13.3018126007437,1.10286542664031e-07
"Mali","Africa","(Intercept)",33.0512307692308,0.261520321117768,126.38111879018,2.36065637308984e-17
"Mali","Africa","I(year - 1952)",0.37680979020979,0.00805472654941242,46.781202055491,4.8007806190221e-13
"Mauritania","Africa","(Intercept)",40.0256025641026,0.221298597305783,180.866951039896,6.5599422969385e-19
"Mauritania","Africa","I(year - 1952)",0.446417482517482,0.00681591273461275,65.4963612210691,1.67607732454799e-14
"Mauritius","Africa","(Intercept)",55.3707692307692,0.944972825105238,58.595091583298,5.0897799059321e-14
"Mauritius","Africa","I(year - 1952)",0.348453846153846,0.0291048040562048,11.9723824795707,2.98539339287245e-07
"Mexico","Americas","(Intercept)",53.0053717948718,0.567501992325495,93.4012082982612,4.84501602540082e-16
